"cv_fold_i","cv_fold_j","rho1","rMSE","MAE","converged"
0,1,300,0.0437826604358357,0.0351715079672762,TRUE
0,1,600,0.0439843677600117,0.0351648266312077,TRUE
0,1,1200,0.0440748808985994,0.035130997994138,TRUE
0,2,300,0.0580759540090918,0.0501577819179693,TRUE
0,2,600,0.0597813534531481,0.0516024962689319,TRUE
0,2,1200,0.0590261647060253,0.0510838350697409,TRUE
0,3,300,0.0827366294777522,0.0661184273578839,TRUE
0,3,600,0.0851733487544623,0.0679876990103559,TRUE
0,3,1200,0.0837899344626836,0.0665812111493976,TRUE
0,4,300,0.0347353751916681,0.0281579435848835,TRUE
0,4,600,0.0350253820624143,0.0286307343716019,TRUE
0,4,1200,0.0360186218409923,0.0295001738379659,FALSE
0,5,300,0.0572483911106139,0.0484178058202872,TRUE
0,5,600,0.0578907966966567,0.0492650939354473,TRUE
0,5,1200,0.0600482917283657,0.0512050600379428,TRUE
1,1,300,0.0802053374705018,0.0719500650258344,TRUE
1,1,600,0.0827276707520014,0.0746917847115378,TRUE
1,1,1200,0.0832747554915782,0.0751551582638406,TRUE
1,2,300,0.100751331929965,0.0859396421476225,TRUE
1,2,600,0.104923440867188,0.0879136015766192,TRUE
1,2,1200,0.107458945904531,0.0897216980550816,TRUE
1,3,300,0.0784241247702455,0.0708933383379916,TRUE
1,3,600,0.0843127813517039,0.0759686821863999,TRUE
1,3,1200,0.0881112372418899,0.0793559565064811,TRUE
1,4,300,0.0407981141086155,0.0352926448772113,TRUE
1,4,600,0.0401081760149742,0.0346771262563263,TRUE
1,4,1200,0.0419115314325914,0.036272467947844,TRUE
1,5,300,0.122696301231357,0.10164702707398,TRUE
1,5,600,0.12673482948007,0.105493131390354,TRUE
1,5,1200,0.129489661665557,0.108608344183545,TRUE
2,1,300,0.0771507108734301,0.0685499796024256,TRUE
2,1,600,0.0780038983056086,0.0692499721038167,TRUE
2,1,1200,0.0790468660140322,0.0705036080329291,TRUE
2,2,300,0.0712326256761824,0.0597787884571749,TRUE
2,2,600,0.0702141738426835,0.0588818009360759,TRUE
2,2,1200,0.0694221870422707,0.0584238761863346,TRUE
2,3,300,0.058218002578734,0.0491734330745181,TRUE
2,3,600,0.0611311588189376,0.0523864917070308,TRUE
2,3,1200,0.0619948211830871,0.0531218239225725,TRUE
2,4,300,0.0403347801845777,0.0315865298900552,TRUE
2,4,600,0.0461167404984315,0.0358803464710208,TRUE
2,4,1200,0.0475762951644935,0.03706647490982,TRUE
2,5,300,0.0960397209379191,0.0750447740651694,TRUE
2,5,600,0.0963504897059243,0.0753456575207923,TRUE
2,5,1200,0.0962793094095493,0.0752810482213398,TRUE
3,1,300,0.0796885727230116,0.0733947775210505,TRUE
3,1,600,0.0792543629528774,0.0724892371863322,TRUE
3,1,1200,0.082427286396048,0.0755074468975808,TRUE
3,2,300,0.0623829934262279,0.0483612666753709,TRUE
3,2,600,0.0652183050203786,0.051697430842705,TRUE
3,2,1200,0.0659476337434185,0.0525047784673406,TRUE
3,3,300,0.0594918330468288,0.0479630079332785,TRUE
3,3,600,0.0581807463271971,0.047136073825185,TRUE
3,3,1200,0.0558471448302638,0.0444934401061702,TRUE
3,4,300,0.0504557607950853,0.0409214424742756,TRUE
3,4,600,0.0518694447640099,0.0420689870851536,TRUE
3,4,1200,0.0529537031511582,0.0428077448631131,TRUE
3,5,300,0.113145293624167,0.0964031560872738,TRUE
3,5,600,0.119486339565317,0.102053743628772,TRUE
3,5,1200,0.117617706520423,0.100434835811084,TRUE
4,1,300,0.0584225472705494,0.0476797048868202,TRUE
4,1,600,0.0601735959342904,0.0504678648585562,TRUE
4,1,1200,0.0613601438016119,0.0522307950811253,TRUE
4,2,300,0.0442673973477009,0.0354116602183476,TRUE
4,2,600,0.0443768946916173,0.0358115741125164,TRUE
4,2,1200,0.0443021928340985,0.0354445368648722,TRUE
4,3,300,0.0691230667282733,0.0595506809472881,TRUE
4,3,600,0.0715497721267143,0.0612010610217149,TRUE
4,3,1200,0.0711422818395748,0.061080627356288,TRUE
4,4,300,0.0498056487261786,0.0405035931457794,TRUE
4,4,600,0.0527647991405982,0.0425946985754473,TRUE
4,4,1200,0.0555455931323444,0.0446683749754606,TRUE
4,5,300,0.129989545279647,0.111292979068946,TRUE
4,5,600,0.131330477838427,0.1122631839376,TRUE
4,5,1200,0.134142964682652,0.114035370321146,TRUE
5,1,300,0.044506268328752,0.0362000359352294,TRUE
5,1,600,0.0471863304073738,0.0385812555594796,TRUE
5,1,1200,0.0482891243466443,0.0395868066564772,TRUE
5,2,300,0.0476507444321684,0.0389827418299833,TRUE
5,2,600,0.0468611827419794,0.038615030349458,TRUE
5,2,1200,0.046738759783681,0.0384583069712854,TRUE
5,3,300,0.0719327787952689,0.0636759696917392,TRUE
5,3,600,0.0735872394815207,0.0652478846375269,TRUE
5,3,1200,0.0746210796741093,0.0663677625251002,TRUE
5,4,300,0.0587600796630782,0.0499362058706209,TRUE
5,4,600,0.0599417396355817,0.0506635212806021,TRUE
5,4,1200,0.0610516096671413,0.0513277957967006,TRUE
5,5,300,0.122880422294775,0.106600338487292,TRUE
5,5,600,0.127343164276476,0.111350629430786,TRUE
5,5,1200,0.131185072994427,0.114781533268507,TRUE
