"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","iteration","cv_fold"
-0.018381392,-0.11674439,0.055361153,-0.01672406,0.12975334,0.05212867,0.10505841,0.064299286,-0.0059978957,0.055314065,-0.033994979,0.027227631,0.0074944193,0.11594988,1,2
0.0020905209,-0.12406486,0.061200762,-0.010612962,0.01573952,0.12971864,-0.15896982,0.33712925,0.0095272,-0.17091781,-0.013465022,0.0047893402,0.10875724,0.28642252,2,2
-0.010466951,-0.12237813,0.022046022,-0.029787595,0.1288118,-0.051137269,0.054078163,0.12971035,0.0063512011,0.034343198,-0.030284072,0.012855133,0.11661537,0.1773387,3,2
-0.0027127818,-0.045094559,0.027250555,-0.045513107,0.11053795,0.14576732,0.054055261,-0.0051404049,-0.00465777,0.050527752,-0.024066473,0.022474996,0.1160691,0.16373039,4,2
-0.0093874591,-0.16041429,0.041648531,0.0010229537,0.091943036,-0.081863646,0.077711777,0.099342694,0.0070538104,-0.023406771,-0.024102956,-0.00066798262,0.069027762,0.14582722,5,2
-0.0054497914,-0.07168955,0.0416179,-0.032386764,0.089981224,0.20312675,0.011361312,0.15581854,-0.0050019718,-0.049531784,-0.024978244,0.013076581,0.033843678,0.23486379,6,2
-0.0071626835,-0.13293415,0.031204875,-0.049049004,0.14083725,-0.061125139,0.040876532,0.004196441,0.0082573329,0.038146653,-0.026800587,0.014486408,0.01827501,0.2081869,7,2
-0.0015381049,-0.11011419,0.019468089,-0.060719701,0.10116904,-0.0023379526,0.10889068,0.12938917,0.0092359814,0.025441758,-0.022574046,0.014745045,0.13200639,0.19881194,8,2
-0.0028860209,-0.11318715,0.052780121,-0.0097656704,0.11330035,-0.019329477,0.056485805,0.073322475,-0.01209826,0.0010406633,-0.017157658,0.014292015,0.077183369,0.1709429,9,2
-0.0060027966,-0.15080711,0.049144926,-0.019008977,0.15397442,0.015791426,0.038010002,0.056848929,-0.012057912,0.014156792,-0.017471755,0.0079737264,0.10897614,0.10790084,10,2
-0.0082010837,-0.12120186,0.047152667,-0.041312714,0.14538215,0.062931491,0.053722181,0.037090403,0.013578957,0.15962247,-0.017205777,0.013900399,0.070690799,0.20154491,11,2
-0.0089792623,-0.1491623,0.032583578,-0.0078529694,0.061286806,0.20145987,0.10290471,-0.023843437,-0.013341155,0.088900777,-0.017381841,0.0076920383,0.046250615,0.15080259,12,2
-0.0023846363,-0.071949391,0.036025667,-0.030443906,0.019324692,-0.032479446,-0.0090694228,0.093947013,-0.0053278936,0.11413725,-0.020546728,0.024517606,0.071729812,0.19422996,13,2
-0.0080540191,-0.129202,0.038941175,0.039130914,0.11785662,0.084945165,0.084420234,0.048267211,0.0074320617,0.016104979,-0.023961906,0.0064481445,0.041535338,0.040910373,14,2
-0.0014005016,-0.1215384,0.022682038,-0.073251132,0.077430361,0.032075604,0.058887985,0.1005464,-0.010860116,0.066107407,-0.019903819,0.01159703,0.044250887,0.26079603,15,2
-0.0092078792,-0.11579965,0.037562752,-0.047382884,0.14084844,0.018595515,0.057797384,0.096636926,-0.0010676709,0.029499713,-0.011914849,0.0094915357,0.012189213,0.2035288,16,2
-0.0026343824,-0.072563793,0.05410322,-0.039259305,0.16250543,-0.0089339026,0.04833808,0.090192707,0.002412145,0.082849825,-0.011678542,0.0071614722,0.030087541,0.22420604,17,2
