"","x"
"lp__",2996.619849375
"alpha0",0.15439753944875
"alpha1",2.399282802775
"alpha21",0.2529682301835
"alpha22",0.1615213517315
"rho2",22.8886713673
"sigma1",0.152721130565
"sigma",0.02364160307
"beta[1]",-0.00681031860355158
"beta[2]",-0.120555038079
"beta[3]",0.03877016900585
"beta[4]",-0.0173419759489795
"beta[5]",0.0923578528865138
"beta[6]",0.0153876166952792
"beta[7]",0.0336349489138083
"beta[8]",0.0735594468670747
"beta[9]",0.000552513200673125
"beta[10]",0.0405055258790475
"beta[11]",-0.019035096829052
"beta[12]",0.0124903022123243
"beta[13]",0.0681561787031139
"beta[14]",0.194378562783625
"beta[15]",0.035084878722583
"beta[16]",-0.0227209439422185
"beta_sd",0.09295708688175
