"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","beta[8]","beta[9]","beta[10]","beta[11]","beta[12]","beta[13]","beta[14]","beta[15]","beta[16]","iteration","cv_fold"
-5.0494024e-06,-0.12114836,0.011454032,-0.054367548,-0.0053698461,0.12201776,-0.0094938129,-0.026579316,0.0031861845,0.0080510011,-0.0074653639,0.0060027892,0.11840179,0.15685464,0.11127462,-0.014004955,1,5
-0.0034571832,-0.067540094,0.046283931,0.011757008,0.042477503,-0.084310396,0.08606854,0.150937,0.013201436,0.08741118,-0.020178749,0.0076552158,0.018321331,0.10551052,0.0022958143,-0.0046813431,2,5
-0.0042894216,-0.078166707,0.039791922,-0.023957833,0.083326656,-0.021505747,0.13093107,0.044263756,0.012452594,0.00055786513,-0.02350823,0.0080684838,0.099930722,0.17536818,0.0029035685,-0.00041464452,3,5
0.00072942759,-0.13005271,0.031434623,0.035589315,0.053096696,-0.0089641122,-0.051288664,0.043287054,-0.00026621901,0.027165509,-0.014005954,0.0107701,0.10760452,0.13615516,0.036849282,0.0043009987,4,5
-0.0068285913,-0.089694889,0.039903841,-0.071502557,0.13165063,-0.05358671,0.13763852,0.057628785,0.010383484,-0.027926022,-0.011449496,0.0082610591,0.10089156,0.25194134,0.051336374,-0.011237911,5,5
0.001576548,-0.12933028,0.030711255,-0.00059107483,0.081490665,-0.029223142,-0.10785187,-0.022215148,0.00029765113,0.11790659,-0.012750942,0.0073747078,0.13248735,0.18083941,0.013642491,-0.0013511235,6,5
-0.0042401661,-0.11381094,0.030192244,-0.034545499,0.06616166,-0.055463116,0.016839073,-0.0089634643,0.0044224531,0.10271252,-0.0079691569,-0.0068698122,0.1468098,0.15495459,0.15584858,-0.0037397093,7,5
-0.0023413233,-0.12273371,0.031869252,-0.021219735,0.0051836169,0.047025426,-0.051814352,0.014975386,0.011666512,0.04363088,-0.0074183828,-0.0022757142,0.066369115,0.15797527,0.033352353,-0.0069147738,8,5
-0.0044948839,-0.11489334,0.047889048,-0.0091061938,0.01340304,-0.061941413,0.019044719,0.076913291,0.0094179821,0.096346481,-0.0017374124,0.00076045123,0.096166285,0.14236658,0.10234737,0.021505562,9,5
0.0037025271,-0.12618909,0.045285517,-0.02064381,0.16629171,0.12484008,0.051006244,0.022593929,0.0012374677,-0.073771665,-0.034204532,0.015100826,0.1232651,0.18164126,0.016023635,-0.022150596,10,5
-0.0068683829,-0.11177263,0.023739328,-0.0038439617,0.07451692,-0.1301705,-0.022573175,0.15545444,0.0080059056,0.068246587,0.0097753348,-0.0011452281,0.058399878,0.23992274,0.062687984,0.0060585613,11,5
0.0022193643,-0.10712715,0.050856633,-0.020201653,0.108115,0.13391571,0.12041301,-0.026943536,-0.00025524357,-0.018985866,-0.022114254,0.009247999,0.1473651,0.078901516,-0.042910837,-0.011508248,12,5
-0.0052736851,-0.11615139,0.022074477,-0.022086694,0.060180243,-0.12205726,0.030556837,0.14519519,0.011231628,0.08183722,-0.012701099,0.0078983168,0.080438532,0.18176111,0.051537648,0.0064411143,13,5
0.0025782188,-0.032849841,0.0053521755,-0.0033785132,0.10218155,0.12042272,0.036811358,0.096323602,-0.0034537072,-0.047322061,-0.019220801,0.0077538132,0.10731882,0.17823169,0.12986363,-0.011687974,14,5
-0.0028948216,-0.15877755,0.061001782,-0.023749051,0.030562444,0.019807547,0.065695083,0.047499053,0.014157226,0.046816326,-0.005691946,0.0077870834,0.074036902,0.21638395,0.080224101,0.004977602,15,5
-0.0018082785,-0.12709241,0.03795892,0.0052750367,0.018194929,-0.0025021882,-0.010839037,0.17867398,-0.0019406461,0.060931995,-0.01745798,0.0020320169,-0.042864795,0.3579378,0.037194074,-0.017043465,16,5
-0.0020013172,-0.10219908,0.054532455,-0.027013217,0.1397295,-0.069888451,0.15789446,0.24932131,0.012211746,-0.0061257688,-0.022199246,0.009801567,0.12802913,0.18786871,0.06944638,0.013711562,17,5
-0.001885565,-0.13579266,0.030598218,-0.00065780575,0.026997136,0.077899855,-0.015983109,0.077466477,0.0016584675,0.06591067,-0.0069087378,0.00068283117,0.094560733,0.16407647,0.030280819,-0.019361651,18,5
-0.0029094853,-0.094969185,0.036692101,-0.027372772,0.12866531,0.0099862701,0.093828594,0.09674861,0.0051653925,0.063794868,-0.023606455,0.013699548,0.085714706,0.20821541,0.064963208,0.0036407082,19,5
