"cv_fold_i","cv_fold_j","rho1","rMSE","MAE","converged"
0,1,325,0.0577555921165516,0.0460003363520997,TRUE
0,1,650,0.0605774003000036,0.0476739968966243,TRUE
0,1,1300,0.0616197426248893,0.0483077799036922,TRUE
0,1,2600,0.0627330756262523,0.0489981127460187,TRUE
0,2,325,0.0601752243347805,0.0512344003294561,TRUE
0,2,650,0.0615153830927531,0.0524556358811139,TRUE
0,2,1300,0.0615600519249122,0.052382605665841,TRUE
0,2,2600,0.0622298230590388,0.0531149322130866,TRUE
0,3,325,0.0860294432652821,0.0695935695128378,TRUE
0,3,650,0.0876958176999107,0.070792952232686,TRUE
0,3,1300,0.0885072639198877,0.0713707881231531,TRUE
0,3,2600,0.0892175468860961,0.0715894926899967,TRUE
0,4,325,0.0739665989711411,0.0532732961945784,TRUE
0,4,650,0.0799525454368308,0.0580561286893447,TRUE
0,4,1300,0.0810714851261361,0.0591223224207522,TRUE
0,4,2600,0.0828041153145463,0.0603866273487738,TRUE
0,5,325,0.0466781039523693,0.0381871094815178,TRUE
0,5,650,0.0478631121747927,0.0386318663233057,TRUE
0,5,1300,0.048376925727924,0.0389662853726412,TRUE
0,5,2600,0.0480782290280824,0.0386300838930931,TRUE
1,1,325,0.0543139731911947,0.0421221469397279,TRUE
1,1,650,0.0559003768846782,0.0434585655941934,TRUE
1,1,1300,0.0565865402781206,0.0441519688039021,TRUE
1,1,2600,0.0560865865132057,0.0435904224920657,TRUE
1,2,325,0.0943390392688997,0.0784950798939149,TRUE
1,2,650,0.093002679398318,0.0768946545734729,TRUE
1,2,1300,0.0938472166667182,0.0781876928833993,TRUE
1,2,2600,0.092324863409566,0.0766327977835972,TRUE
1,3,325,0.0450531573888931,0.0366850330590168,TRUE
1,3,650,0.0463056650895193,0.037590667744539,TRUE
1,3,1300,0.0461090707010301,0.0372456901511155,TRUE
1,3,2600,0.0458034217916301,0.036931723674531,TRUE
1,4,325,0.0385075837679353,0.0306503491565501,TRUE
1,4,650,0.0391864397345392,0.0314255517624091,TRUE
1,4,1300,0.0395657096100244,0.0319392361310652,TRUE
1,4,2600,0.0402135041723994,0.0323680006650761,TRUE
1,5,325,0.0624093367927259,0.0504689627519886,TRUE
1,5,650,0.0633946372570436,0.0508470285642037,TRUE
1,5,1300,0.0638134588338532,0.0510202992051492,TRUE
1,5,2600,0.0641450933631673,0.051343375516994,TRUE
2,1,325,0.0812430093965759,0.0724465120761583,TRUE
2,1,650,0.0819401836947281,0.0734938541153509,TRUE
2,1,1300,0.0818609616526779,0.0736830954732032,TRUE
2,1,2600,0.0819501347853467,0.0736265597502183,TRUE
2,2,325,0.0691237821726788,0.0582588390446114,TRUE
2,2,650,0.0721762228733749,0.060776612748674,TRUE
2,2,1300,0.0751165988001863,0.0631741973504933,TRUE
2,2,2600,0.0748090564433255,0.0630387850514198,TRUE
2,3,325,0.0463440206398405,0.0387898697159166,TRUE
2,3,650,0.0473118282098356,0.0395075987860296,TRUE
2,3,1300,0.0473940870819647,0.0396615344307572,TRUE
2,3,2600,0.0486747397880301,0.0408673043168562,TRUE
2,4,325,0.0597631332341084,0.0468051089583635,TRUE
2,4,650,0.0595710951609516,0.0462255686609019,TRUE
2,4,1300,0.0594036261697587,0.0458668738371758,TRUE
2,4,2600,0.0586096515167413,0.0452519477958015,TRUE
2,5,325,0.065172752318864,0.0553872693808075,TRUE
2,5,650,0.0677042773752168,0.0573781236816228,TRUE
2,5,1300,0.0677743109538247,0.0572562254488774,TRUE
2,5,2600,0.0683149915043301,0.05763142794538,TRUE
3,1,325,0.0919685323962168,0.0793133285553533,TRUE
3,1,650,0.092514684218874,0.0800159675933997,TRUE
3,1,1300,0.0928428018219166,0.0800843159397261,TRUE
3,1,2600,0.0924784946118016,0.0802510273886916,TRUE
3,2,325,0.0435345236152904,0.0353964947307473,TRUE
3,2,650,0.0439690168099117,0.0357030845534004,TRUE
3,2,1300,0.0437625413413833,0.0356156595570916,TRUE
3,2,2600,0.0438870686354195,0.0354884849993415,TRUE
3,3,325,0.0504944560262184,0.0423546295409636,TRUE
3,3,650,0.052156272333973,0.0437870344769583,TRUE
3,3,1300,0.052035393734858,0.0435135975736778,TRUE
3,3,2600,0.0514157787615128,0.042953838449981,TRUE
3,4,325,0.0606304527294325,0.051314208252753,TRUE
3,4,650,0.0627704435905015,0.0530085688440153,TRUE
3,4,1300,0.0644650870242406,0.0543270931709377,TRUE
3,4,2600,0.0650337102546478,0.054849709158103,TRUE
3,5,325,0.0570962030005701,0.0479022987393285,TRUE
3,5,650,0.0584656545154566,0.0488831591919211,TRUE
3,5,1300,0.058558310550151,0.0487877732082548,TRUE
3,5,2600,0.0589027400243024,0.0486982701182853,TRUE
4,1,325,0.0360409656776349,0.0283820063859755,TRUE
4,1,650,0.0366140584939684,0.0290559206145944,TRUE
4,1,1300,0.0364131629295834,0.0288900311320671,TRUE
4,1,2600,0.036776760473071,0.0292749103491771,TRUE
4,2,325,0.0447577070136925,0.0369933829679777,TRUE
4,2,650,0.0455711182508603,0.0377356359262066,TRUE
4,2,1300,0.0462810798735938,0.0384088737926856,TRUE
4,2,2600,0.0463544492711901,0.0385416909507003,TRUE
4,3,325,0.059659265640758,0.0499733249780116,TRUE
4,3,650,0.0604735118448963,0.0507517969883504,TRUE
4,3,1300,0.0611041469820349,0.0514017851637656,TRUE
4,3,2600,0.0606250510611015,0.0507603413528284,TRUE
4,4,325,0.0542018337861409,0.0439331407752532,TRUE
4,4,650,0.0545856270357165,0.0445744975350754,TRUE
4,4,1300,0.0552899461379936,0.045405606864155,TRUE
4,4,2600,0.0554696471904163,0.0455791412854797,TRUE
4,5,325,0.0477360359229898,0.0375857065263227,TRUE
4,5,650,0.0483881066349842,0.0378749803432344,TRUE
4,5,1300,0.0482653508584945,0.0376423594554933,TRUE
4,5,2600,0.0480042053277239,0.0373332502597999,TRUE
5,1,325,0.0470099161751806,0.0390854645125707,TRUE
5,1,650,0.0458599637976686,0.0383869747791372,TRUE
5,1,1300,0.0452622233704567,0.0381028933382206,TRUE
5,1,2600,0.0446417628171686,0.0373936727629641,TRUE
5,2,325,0.0533405539167139,0.0446530698048707,TRUE
5,2,650,0.0558831850123689,0.0465832923986639,TRUE
5,2,1300,0.0573785601758924,0.0478986256639873,TRUE
5,2,2600,0.0578131813331529,0.0482074261534005,TRUE
5,3,325,0.0601064944300754,0.0485607367068827,TRUE
5,3,650,0.0614875457231923,0.049483285154988,TRUE
5,3,1300,0.0622084238450942,0.0502740004326573,TRUE
5,3,2600,0.0620152592370402,0.0498274262211166,TRUE
5,4,325,0.0848092591980915,0.0715651610269705,TRUE
5,4,650,0.084776758555916,0.0716414768462219,TRUE
5,4,1300,0.0844906434060619,0.071688850907881,TRUE
