"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","beta[6]","beta[7]","iteration","cv_fold"
0.065043948,0.002394679,-0.022315268,0.013787626,-0.0060476235,-0.041485811,-0.0058601738,1,3
0.012730498,0.013161904,0.022879388,-0.001744224,-0.010144238,-0.03236262,0.023125827,2,3
0.064013092,-0.063350853,-0.067426085,0.024973535,-0.022449407,-0.028141101,0.075383532,3,3
0.22607741,-0.0072372816,-0.08087677,-0.067776201,0.065953868,-0.022845656,-0.09375373,4,3
0.18758909,-0.010165432,-0.069384534,-0.060673883,0.056319445,-0.042891967,-0.10715678,5,3
0.085198533,-0.055622352,0.014331494,-0.005677985,-0.061735094,-0.023067214,0.063532765,6,3
0.029504436,-0.033374735,-0.0044327507,-0.035412916,-0.052716066,-0.026461213,0.077614511,7,3
0.00026619929,-0.02621345,-0.029645115,0.013004691,0.0035271125,-0.013807546,-0.029254741,8,3
0.046601812,-0.017439762,0.0036450042,-0.016938797,7.7633026e-05,0.0025776015,0.061479663,9,3
0.0021506316,-0.024535119,-0.020965968,0.0067081081,-0.0024078769,-0.022482941,0.0050790266,10,3
-0.010582682,-0.032382446,-0.029091963,-0.012356002,0.0006170973,-0.017259475,0.011563913,11,3
-0.0058437129,-0.033196058,0.0052647407,0.0052712943,-0.013775668,-0.012415435,0.0013120878,12,3
0.026009489,-0.027720263,-0.0062077093,-0.005980461,0.0012769708,-0.0016186574,0.0026148017,13,3
0.028079214,-0.0077093007,0.017395254,0.03364117,-0.039827169,-0.042698285,-0.0084318361,14,3
0.063058362,-0.023966626,0.040285351,0.022393994,-0.082364425,-0.018764634,-0.018803798,15,3
0.051803245,-0.035071039,-0.14165283,-0.0566632,-0.035703197,-0.048402317,0.10363235,16,3
0.044568436,-0.028026391,-0.01023587,-0.054145191,-0.038837715,-0.057077108,0.12440668,17,3
0.15350676,-0.040019254,-0.084091118,-0.016078985,-0.050260646,-0.031175837,0.096320397,18,3
0.032496252,-0.048129996,-0.035751186,-0.0068302976,-0.068961959,-0.033183688,0.10225347,19,3
0.047911516,-0.042622831,-0.055996786,-0.062817658,-0.0018294225,-0.036415568,0.18015496,20,3
0.13139805,-0.022694734,-0.029122074,0.018749523,-0.020146471,-0.020086569,0.053711043,21,3
0.076974973,0.00034845228,-0.060957299,0.002720458,0.010316588,-0.013090158,0.06730117,22,3
0.013964605,-0.066035408,-0.051892155,-0.067523739,-0.025247521,-0.05904807,0.066576576,23,3
0.073886958,-0.019084417,-0.062798422,-0.038815888,-0.011103603,-0.012929272,0.040378821,24,3
0.057747758,-0.0076962838,-0.015198709,0.044021049,-0.020278023,-0.02737641,-0.0066636079,25,3
0.0084587752,-0.037192673,-0.045448603,-0.02593496,0.010972865,-0.0012240212,0.04718715,26,3
0.0214886,-0.026952097,0.010146142,0.029477763,-0.0026783536,-0.032739201,-0.010076273,27,3
0.063279391,-0.025458367,0.014047143,0.019193747,-0.021019881,-0.021790818,0.023645986,28,3
0.045208988,-0.01474152,-0.029687754,-0.024177573,-0.0053114286,-0.027185854,0.016249034,29,3
-0.023982049,-0.037270776,-0.037225058,-0.022224498,-0.026834444,-0.019426049,0.078055234,30,3
0.071301001,-0.028500121,-0.0092791694,-0.003611639,-0.029770193,-0.012285342,-0.026646252,31,3
-0.023591704,-0.038876326,-0.052394254,-0.03312903,-0.0095173369,-0.04483128,0.097122347,32,3
0.097790373,-0.033809521,-0.046254601,-0.031623683,-0.018441599,-0.023083969,-0.04835183,33,3
0.0015754505,-0.020747983,-0.062816469,-0.024522966,0.011848639,-0.04353784,0.15832088,34,3
0.085116361,-0.055698765,-0.053038841,-0.055497866,-0.1389361,-0.056777196,0.086237054,35,3
0.025062645,-0.011834615,-0.052381522,0.0078508546,0.0041886258,-0.016656,0.0092343583,36,3
0.02768862,-0.022691656,-0.034398267,0.019209804,0.054607319,-0.0036952791,0.013498342,37,3
0.07664565,-0.012777654,-0.049760877,0.023569515,0.030061785,-0.0048261525,-0.0052731501,38,3
0.050533217,-0.040542729,-0.046309826,-0.043290087,-0.0044589439,-0.055785515,0.065928655,39,3
0.045685678,-0.041771873,-0.012353549,-0.061888354,-0.010676563,-0.013784076,0.044311588,40,3
0.06171127,-0.028876006,-0.026617246,-0.0428467,0.01224645,-0.029278727,0.031921082,41,3
0.0379976,-0.0087909099,-0.018311694,-0.018346067,0.010844497,-0.017305388,0.031297631,42,3
0.018516118,-0.058276064,-0.085388722,-0.012222155,-0.045116118,-0.048391259,0.0082184651,43,3
0.021080501,-0.0070761197,0.019209922,-0.00341627,-0.0060661938,-0.005762428,0.015466993,44,3
0.0051228981,-0.0065444651,-0.010189667,-0.02481544,0.005381366,-0.00039725835,0.0088830554,45,3
-0.015636663,-0.029526704,-0.035416543,-0.012113295,-0.025082591,-0.017002682,0.011857697,46,3
0.042681346,-0.038748782,-0.023624989,-0.087661508,0.01688138,-0.069186015,0.060173915,47,3
0.075164243,-0.043357802,-0.012141154,-0.076483908,0.052307533,-0.029121546,0.050697865,48,3
0.048729246,-0.032604883,-0.095431898,-0.033326355,-0.042606617,-0.023476097,0.052067519,49,3
-0.0039531347,-0.005688511,0.016934265,-0.012136143,-0.051863948,-0.034356933,0.0019149109,50,3
0.019889708,-0.02612836,-0.033286248,-0.00077449642,-0.011781251,-0.0032620327,0.032947892,51,3
0.054628374,-0.037396808,-0.024015283,0.0060498078,0.00016424726,-0.028334444,0.0085694446,52,3
-0.01045264,-0.015919098,0.00057201678,0.017380436,-0.0073540196,-0.010629519,-0.0045267285,53,3
-0.014358873,-0.024752517,-0.0084086198,0.0054571834,0.0013591206,-0.025805436,0.0064587792,54,3
0.025147062,-0.021737311,-0.0056496176,-0.019125063,0.010591542,-0.016025008,-0.0053210267,55,3
-0.011216661,-0.031197987,-0.018904531,0.01744215,-0.020975615,-0.02398538,0.016714603,56,3
0.010817548,-0.010678413,0.0027536599,-0.031905506,0.016135704,-0.010575302,-0.0013927836,57,3
0.0062518755,-0.0029878832,-0.0028414541,-0.028044822,0.003461905,-0.018441931,0.00473711,58,3
0.049739741,-0.048241755,-0.033559057,-0.036359464,-0.026994241,-0.017299856,0.017185052,59,3
0.11096734,-0.0055717054,-0.058223333,0.0036603574,0.0095618788,-0.042616071,0.072351745,60,3
0.0075355277,-0.050842134,-0.057313394,-0.035897518,-0.030491051,-0.040340114,0.010282129,61,3
-0.017040647,-0.032045069,-0.050953366,-0.035504488,-0.031661098,-0.029731596,-0.0019268383,62,3
0.12049521,-0.010982314,-0.020624224,-0.042510074,-0.013036937,-0.055163289,0.1217802,63,3
0.026865275,-0.030855343,-0.036132593,0.031329738,-0.055603855,0.0048743927,-0.11916561,64,3
0.091441021,-0.053296721,-0.01694335,0.077748938,-0.040054105,0.012747806,0.020053504,65,3
0.089845678,-0.024299895,-0.060416346,-0.035043199,0.015413301,-0.081812366,0.00024350939,66,3
0.010792301,-0.029215432,-0.12389724,-0.036417107,-0.03866261,-0.0045946601,0.053000071,67,3
0.015919512,-0.0041005153,-0.094906908,-0.065314839,-0.063454541,-0.044305975,0.19562614,68,3
0.17172693,-0.066372275,0.00090485711,0.032731449,-0.017705178,-0.036436259,-0.096254684,69,3
0.17081026,-0.066298385,0.0010475317,0.033920486,-0.018610591,-0.040022536,-0.10143497,70,3
0.19279905,-0.032460496,-0.072507992,-0.022397066,-0.015903671,-0.045288076,-0.058135605,71,3
0.17278088,-0.040561233,-0.062870251,-0.10262958,-0.0057642328,-0.044742675,-0.042178448,72,3
0.059317807,-0.026201737,-0.022671783,0.053497273,-0.025520354,-0.033324985,0.041357447,73,3
0.099181826,-0.03760981,-0.060826943,-0.098610674,-0.0093078862,-0.034161059,0.01204955,74,3
0.037069618,-0.051425625,-0.065327449,-0.029064195,-0.0038503011,-0.0097044923,0.013729944,75,3
0.07392447,-0.036748653,-0.068108822,-0.016100155,-0.038537225,-0.00099363595,0.054944921,76,3
-0.020975343,-0.019077147,-0.00095340052,-0.012968335,-0.04954209,-0.033097063,-0.027639489,77,3
0.04114807,-0.040003883,-0.049622905,-0.02177419,0.0039400628,-0.02340922,0.013043096,78,3
0.08085424,-0.044309705,-0.05198173,-0.069806155,0.050566397,-0.032052186,0.031404098,79,3
0.090821067,-0.040053286,-0.039956316,-0.086101167,0.056839153,-0.0053792208,0.011250402,80,3
0.19168339,-0.030315504,-0.025661255,-0.019524247,0.021498551,-0.046046329,-0.053294834,81,3
-0.030072613,-0.031534294,-0.030338811,-0.0032089733,-0.051890586,-0.018909661,0.11710416,82,3
0.11945203,-0.026530515,-0.034229876,-0.023330752,-0.021300229,-0.038481543,-0.058593333,83,3
0.17795491,-0.018555181,-0.085697043,-0.055410951,-0.05820279,-0.030580571,-0.012850442,84,3
0.10777195,-0.072655487,-0.040029864,-0.037103126,-0.083775976,-0.078476072,0.072639251,85,3
0.13536565,0.0093321328,-0.02051195,-0.029560809,-0.046264598,0.01472031,-0.05894116,86,3
0.13908962,0.0054765388,-0.027477948,-0.017253947,-0.046417367,0.0083193946,-0.04400402,87,3
