"cv_fold","feature","beta_name","posterior_mean","posterior_sd","posterior_median","ci_2.5","ci_97.5","prob_positive","prob_negative","includes_zero","prior_mean","rhat","ess_bulk","ess_tail"
0,"MPI_intensity","beta[1]",0.105713596953855,0.0663534833669321,0.10193394,-0.008482310155,0.2447220355,0.9595,0.0405,TRUE,0,0.999848200498865,1725.6942904543,2074.34509943968
0,"currency_exchange_log","beta[2]",-0.0376535529972728,0.0176075896064415,-0.0375954875,-0.07253755395,-0.00351180753249999,0.018,0.982,FALSE,0,1.00043226748824,3366.08983553489,2431.21086428027
0,"ndvi_value_cubic_intp","beta[3]",-0.00995915164952598,0.0329664874336709,-0.0095598871,-0.076386699825,0.054275758625,0.38275,0.61725,TRUE,0,1.00100107665642,3154.93012625793,2495.20744419734
0,"food_inflation_cubic_intp","beta[4]",-0.0137116500274487,0.0364552242174508,-0.0125986165,-0.086944176375,0.059188505775,0.34825,0.65175,TRUE,0,1.00098329517646,2839.47740929517,2719.32739979983
0,"Waterways","beta[5]",-0.01200091460512,0.0374118153514914,-0.011561703,-0.088391765575,0.061366661275,0.3705,0.6295,TRUE,0,1.00122115778302,3259.32753399541,2570.34646289221
0,"Ramadan_past90days_Muslimpop","beta[6]",-0.0503749016884848,0.0179616122944833,-0.050429594,-0.08534635665,-0.015040536725,0.00125,0.99875,FALSE,0,1.00049593239397,2592.45902587288,2870.9839075958
0,"Muslim","beta[7]",0.0455620345193693,0.0562470920400142,0.042917873,-0.0620768622,0.16639463575,0.80575,0.19425,TRUE,0,0.999876843584476,2778.70855460797,2408.62795889582
1,"MPI_intensity","beta[1]",0.138209482099942,0.0674389590049241,0.135926975,0.015081261925,0.27521641575,0.9875,0.0125,FALSE,0,1.00292185552019,2644.10482973233,2940.68091199907
1,"currency_exchange_log","beta[2]",-0.0343088845675075,0.0165464795613501,-0.034461587,-0.066370535175,-0.0011348241625,0.0215,0.9785,FALSE,0,1.00108261325223,3823.5439127137,2633.74967665533
1,"ndvi_value_cubic_intp","beta[3]",-0.0457756186335174,0.0330521047798061,-0.0453747785,-0.11162084,0.0191464904,0.078,0.922,TRUE,0,1.00030322482829,3790.29275135952,3245.20757888419
1,"food_inflation_cubic_intp","beta[4]",-0.0243250211095838,0.0374686546288767,-0.0237757005,-0.0975886549,0.048395650875,0.253,0.747,TRUE,0,1.00105530808166,3407.3329312932,2580.32778817441
1,"Waterways","beta[5]",-0.0069560498687041,0.0439196451384876,-0.0069852367,-0.09578461665,0.08050652155,0.43025,0.56975,TRUE,0,1.00228810764204,3970.43132154383,2246.05008488121
1,"Ramadan_past90days_Muslimpop","beta[6]",-0.0499310239426701,0.0166957477781508,-0.0500719405,-0.08245663325,-0.01697631725,0.0025,0.9975,FALSE,0,1.00068545900441,3892.22188498502,2870.88372308994
1,"Muslim","beta[7]",0.0482072487198279,0.0592755544346504,0.0468200865,-0.0717554748,0.17036460125,0.8045,0.1955,TRUE,0,1.0017703583728,2775.63731457565,2664.07313582843
2,"MPI_intensity","beta[1]",0.118986776700127,0.0696766175847948,0.11533981,-0.0010131998675,0.263401433,0.9715,0.0285,TRUE,0,1.00097439017002,1729.8035980813,2457.71524825592
2,"currency_exchange_log","beta[2]",-0.0342604315125488,0.0176249315843568,-0.033794237,-0.0698405838,-0.000554637421499996,0.0225,0.9775,FALSE,0,1.00398939289191,4294.41088906557,2744.58311791525
2,"ndvi_value_cubic_intp","beta[3]",-0.00773796340849252,0.031347902238004,-0.00695665825,-0.070213161625,0.0558911968,0.40725,0.59275,TRUE,0,1.00080698837036,3941.63786254896,3005.10466696258
2,"food_inflation_cubic_intp","beta[4]",-0.0273259485417414,0.0388503032815311,-0.026410329,-0.105752104,0.04616529135,0.2435,0.7565,TRUE,0,1.00049541938589,4102.12844529232,2786.45065903774
2,"Waterways","beta[5]",-0.037954056753111,0.0417874369392215,-0.037060193,-0.1241282605,0.0416912407750001,0.175,0.825,TRUE,0,1.00069349374624,2876.90092895801,2275.43153439088
2,"Ramadan_past90days_Muslimpop","beta[6]",-0.049667095018105,0.0176869131294282,-0.049803281,-0.084766437025,-0.014865319875,0.002,0.998,FALSE,0,1.00042606244467,3984.85211941741,2438.96793698685
2,"Muslim","beta[7]",0.0393382985215315,0.0606039173793656,0.038330826,-0.083332848375,0.161542767,0.764,0.236,TRUE,0,1.00419888426356,2604.41216678146,2166.7390040673
3,"MPI_intensity","beta[1]",0.0542513439953841,0.0613935635411124,0.042492307,-0.03500766605,0.202463127,0.85025,0.14975,TRUE,0,1.00438873209022,1366.93108756467,1629.9694820951
3,"currency_exchange_log","beta[2]",-0.029791129050779,0.0178534952959141,-0.0298474395,-0.065480289525,0.0032530536675,0.048,0.952,TRUE,0,1.00320149475014,1785.9709168781,1042.83025586609
3,"ndvi_value_cubic_intp","beta[3]",-0.0365068374593684,0.033122730852545,-0.034085645,-0.108129132,0.018633740525,0.13,0.87,TRUE,0,1.00109738350793,1885.66932868184,2382.91038137899
3,"food_inflation_cubic_intp","beta[4]",-0.0180338673076803,0.0337585846906998,-0.015857686,-0.089106868825,0.043995549825,0.2975,0.7025,TRUE,0,0.999829560312829,3293.41268877712,2553.26204950872
