"beta[1]","beta[2]","beta[3]","beta[4]","beta[5]","iteration","cv_fold"
0.23634538,-0.058878055,-0.015010972,0.07597241,-0.086311109,1,4
0.19511007,-0.024596285,-0.10381889,-0.019702587,-0.026268921,2,4
0.31963163,-0.056146357,-0.042892447,0.0036581329,-0.092964212,3,4
0.21974624,-0.04554753,0.0083588639,0.063116516,-0.079225129,4,4
0.25709668,-0.019345663,-0.090488924,-0.011797683,-0.078020551,5,4
0.17626455,-0.036716079,-0.036023055,-0.01596804,-0.052382921,6,4
0.1614735,-0.038720808,-0.030768204,0.0066542215,-0.035471655,7,4
0.22319274,-0.046710499,-0.076646749,0.057714477,-0.086467277,8,4
0.17769437,-0.045447193,-0.049029871,0.092964542,-0.040485027,9,4
0.23981341,-0.033655259,-0.064856387,-0.15559033,-0.080308439,10,4
0.20372022,-0.033307468,-0.030762288,-0.11384475,-0.066227151,11,4
0.28910695,-0.040036845,-0.070411496,0.060570283,-0.098644517,12,4
0.20402711,-0.012956935,-0.048541071,-0.1261837,-0.047247491,13,4
0.23679319,-0.0024437684,-0.06135809,-0.15540718,-0.023057954,14,4
0.16151539,-0.016733932,-0.10526384,-0.13691083,0.011408416,15,4
0.15621258,-0.02122622,-0.10303114,-0.14757277,-0.033943303,16,4
0.13463776,-0.030907901,-0.10465346,-0.028204859,-0.056586309,17,4
0.13272465,-0.030940859,-0.10439157,-0.028492141,-0.05701846,18,4
0.19785496,-0.032939862,-0.08243514,-0.0038578073,-0.12286276,19,4
0.19029499,-0.060583342,-0.07418194,-0.043691009,-0.090478077,20,4
0.22431643,-0.082142235,-0.073475289,-0.12134932,-0.069733938,21,4
0.16808916,-0.0028646175,-0.063324542,0.0064741294,-0.070068776,22,4
0.16457156,-0.003649117,-0.030255891,-0.008547523,-0.071463666,23,4
0.17269693,-0.026719658,-0.0027344526,-0.039163042,-0.081009024,24,4
0.15834654,-0.051339935,-0.029458925,-0.060737091,-0.072560146,25,4
0.17169587,0.0027871422,-0.060767661,-0.060598864,-0.016350856,26,4
0.22302865,-0.025317696,-0.077294839,-0.02437963,-0.031373426,27,4
0.25407408,-0.052004535,-0.044385429,-0.019563982,-0.051949431,28,4
0.28440091,-0.059237383,0.0024139877,-0.0098995637,-0.07920645,29,4
0.17363819,-0.012031222,-0.1064456,-0.0090343588,-0.088819543,30,4
0.20671642,-0.0060670234,-0.1176562,-0.058388228,-0.10755404,31,4
0.21805131,-0.055266961,-0.012032019,0.065791554,-0.043890246,32,4
0.20567634,-0.042709273,-0.024167224,0.018006412,-0.021667107,33,4
0.23489361,-0.024036881,-0.10713567,-0.034549048,-0.092129717,34,4
0.25979966,-0.064502683,-0.11529513,0.0049131742,-0.059450911,35,4
0.25488772,-0.05250858,-0.10153175,0.0066540538,-0.054427628,36,4
0.21163035,-0.03635189,-0.038707674,-0.032556479,-0.067475305,37,4
0.1808776,-0.05501906,-0.086559233,0.033547686,-0.038233775,38,4
0.28001159,-0.028054795,-0.068408159,-0.042763223,-0.078651635,39,4
0.13679136,-0.027470783,-0.0663685,-0.0099364258,-0.022577511,40,4
0.24118446,-0.019783896,-0.10818383,0.031555,-0.064979403,41,4
0.19780277,-0.008443509,-0.078675882,0.035053447,-0.072494854,42,4
0.25469247,-0.024398412,-0.067998383,-0.039502151,-0.04067086,43,4
0.19841741,-0.052219227,-0.037087977,0.032284686,-0.11403181,44,4
0.22466084,-0.032048224,-0.046030857,-0.014444607,0.036068545,45,4
0.22994791,-0.034404449,-0.085152829,0.0080256001,-0.074545681,46,4
0.23334479,-0.023936718,-0.063094658,-0.021396812,-0.016477154,47,4
0.28348528,-0.037725776,-0.073804978,-0.011772217,-0.11041748,48,4
0.27378157,-0.027958267,-0.058575069,0.026641377,-0.09313676,49,4
0.19294653,-0.023509437,-0.056653444,-0.042915652,-0.036416925,50,4
0.18126272,-0.045763611,-0.029894831,-0.0066037745,-0.057067879,51,4
0.18283141,-0.034399225,-0.099515887,-0.011326887,-0.068802952,52,4
0.25373375,0.0049676784,-0.053767703,-0.0087452396,-0.058271207,53,4
0.24001739,-0.016217932,-0.071285591,0.060670213,-0.082845357,54,4
0.23958566,-0.027316226,-0.0032338521,0.060057484,-0.086435745,55,4
0.25307726,-0.033265562,-0.002361454,0.024493451,-0.092101321,56,4
0.21700093,-0.038331993,-0.085631899,0.045402122,-0.059627723,57,4
0.19984546,-0.025001559,-0.037357582,0.010463279,-0.021811382,58,4
0.27440755,-0.051721917,-0.053914981,-0.00072187908,-0.059834516,59,4
0.20093081,-0.028124767,-0.040143327,0.0097280596,-0.092808537,60,4
0.25121783,-0.042810183,-0.02966217,-0.026342787,-0.01409139,61,4
0.19444365,-0.032313067,-0.10079087,0.0092567311,-0.064293975,62,4
0.22988734,-0.03887406,-0.043824565,-0.043427102,-0.053549571,63,4
0.18764492,-0.033831617,-0.09991336,0.0058182477,-0.05996504,64,4
0.24771318,-0.048276236,-0.13092379,-0.013454467,-0.039929363,65,4
0.17037014,-0.049558707,-0.050251832,0.030524251,-0.076614209,66,4
0.16068066,-0.022521535,-0.09484492,-0.041409056,-0.050391864,67,4
0.31569988,-0.043893177,-0.029838854,0.053997037,-0.10506528,68,4
0.22034696,-0.051664358,-0.11747883,-0.023693568,-0.022141532,69,4
0.17515482,-0.036948276,-0.08555192,-0.012211692,-0.038644525,70,4
0.14830389,-0.033385627,-0.081238429,-0.051709886,-0.037314866,71,4
0.17230994,-0.048061612,-0.056693937,-0.058899312,-0.045091721,72,4
0.27335414,0.001897263,-0.069772092,-0.043867537,-0.079585426,73,4
0.26705651,0.00084006019,-0.016697127,0.0062120271,-0.099191166,74,4
0.21476605,-0.072058657,-0.073996537,-0.010740499,-0.090792453,75,4
0.20043742,-0.056685637,-0.061665052,0.018086201,-0.072846318,76,4
0.25405883,-0.023917263,-0.063576501,-0.026014565,-0.041362341,77,4
0.21313988,-0.035594725,-0.10932054,-0.044895383,-0.043110039,78,4
0.24112965,-0.036056352,0.022963511,0.054519895,-0.09585465,79,4
0.19008967,-0.043784922,-0.12678926,-0.011001669,-0.052130945,80,4
0.18316192,-0.042275791,-0.07056053,-0.045444518,-0.10515477,81,4
0.24491397,-0.020580439,-0.037758571,-0.019869891,-0.080450771,82,4
0.23894624,-0.021368122,-0.10410038,-0.039828649,-0.049006087,83,4
0.24159226,-0.011843534,-0.047858612,0.023433049,-0.10178333,84,4
0.22738479,-0.029234811,-0.081915243,0.038133869,-0.058669429,85,4
0.2481608,-0.040243607,-0.046518083,-0.039774344,-0.039674906,86,4
0.20877431,-0.024959213,-0.084451695,0.0209791,-0.041770652,87,4
0.23266445,-0.065470787,-0.012823441,0.059716272,-0.12942964,88,4
0.1783121,-0.014851363,-0.089336064,-0.023381741,-0.089133641,89,4
0.25767244,-0.037361102,-0.026949848,-0.040681828,-0.061077515,90,4
0.28657136,-0.040664491,-0.083410436,0.010249943,-0.064504514,91,4
0.16267301,-0.028753322,-0.037159933,-0.027188717,-0.050012594,92,4
0.253585,-0.050284584,-0.058555744,0.031223943,-0.054885326,93,4
0.24659175,-0.055679799,-0.10070237,0.033785489,-0.038820289,94,4
0.23403292,-0.024281396,-0.0081971666,-0.013431841,-0.094331938,95,4
0.28597488,-0.01735371,-0.040152981,0.0045277079,-0.01922704,96,4
0.1639003,-0.027926541,-0.10653568,-0.054106061,-0.083563411,97,4
0.17394128,-0.026413493,-0.095895883,-0.010680553,-0.073461084,98,4
0.22597605,-0.037024684,-0.11220885,-0.054394235,-0.029691741,99,4
0.20616971,-0.024702313,-0.031611672,0.0096220848,-0.10658753,100,4
0.19062166,-0.038339697,-0.053258935,0.045285853,-0.050572013,101,4
0.16787487,-0.020347436,-0.065689166,0.043094707,-0.053262579,102,4
0.26025717,-0.050851382,-0.09635746,-0.023347281,-0.038760663,103,4
0.22604938,-0.041177305,-0.055489336,0.015765682,-0.062069208,104,4
0.24748178,-0.026289431,-0.057791652,-0.0085527122,-0.055055643,105,4
0.18480508,-0.028711757,-0.041348636,0.0070024312,-0.051484974,106,4
0.23302031,-0.04469571,-0.11583517,0.084728764,-0.073827191,107,4
0.21274391,-0.013493369,-0.00023780327,-0.069602203,-0.059048546,108,4
0.21435935,-0.046180271,-0.093465353,-0.012489068,-0.10489381,109,4
0.23366622,-0.060470924,0.0027944873,0.03018042,-0.15458093,110,4
0.24307324,-0.01188192,-0.022585031,-0.010458539,-0.049787553,111,4
