"cv_fold","feature","beta_name","posterior_mean","posterior_sd","posterior_median","ci_2.5","ci_97.5","prob_positive","prob_negative","includes_zero","prior_mean","rhat","ess_bulk","ess_tail"
0,"MPI_intensity","beta[1]",0.2170066648763,0.0600002084036092,0.21760479,0.096400208825,0.33172538675,0.99875,0.00125,FALSE,0,1.00055780686801,3609.8645022912,2089.7932275662
0,"currency_exchange_log","beta[2]",-0.0431959172750517,0.0188142306248828,-0.0429740805,-0.080467815775,-0.00697613855999999,0.00875,0.99125,FALSE,0,1.00300239943119,3625.72785890612,3143.56695972939
0,"ndvi_value_cubic_intp","beta[3]",0.0097701141283828,0.0358668249803859,0.0103812,-0.060828227575,0.0761616444000001,0.61025,0.38975,TRUE,0,1.00142176007858,3906.42563119267,2580.01984178671
0,"food_inflation_cubic_intp","beta[4]",0.00466443960347818,0.0472039095466049,0.00444226585,-0.086272667575,0.10204569575,0.535,0.465,TRUE,0,1.00077023974676,3870.5401396682,2685.21016649629
0,"Waterways","beta[5]",-0.034432958057204,0.0464137899098279,-0.033414628,-0.12604906825,0.058320600625,0.215,0.785,TRUE,0,1.00049537666507,3363.65155476041,2488.06422834747
1,"MPI_intensity","beta[1]",0.23880194931215,0.0561861130084918,0.239156965,0.124496466,0.34862205875,0.99975,0.00025,FALSE,0,1.00118766463649,3518.45277460467,2452.51489545647
1,"currency_exchange_log","beta[2]",-0.0381737098836382,0.0183579316024147,-0.0383715735,-0.074371811375,-0.00213156159999998,0.01975,0.98025,FALSE,0,1.0020223554468,4445.93521710841,2842.26272163225
1,"ndvi_value_cubic_intp","beta[3]",-0.029957272535007,0.0354340716822828,-0.0309452345,-0.09842062415,0.039473150825,0.20625,0.79375,TRUE,0,1.00364073853882,3404.59839215524,2742.10921382706
1,"food_inflation_cubic_intp","beta[4]",-0.00855043571834977,0.0448664537353447,-0.0082915057,-0.0954518334,0.080439863425,0.4205,0.5795,TRUE,0,1.00099848823371,4021.26696937164,2628.77112318309
1,"Waterways","beta[5]",-0.0178107984022295,0.0483579407426697,-0.017391677,-0.11225142475,0.07649116145,0.34925,0.65075,TRUE,0,1.0009147989368,4099.82612411343,2729.41654836316
2,"MPI_intensity","beta[1]",0.224258517645499,0.0573333422190328,0.22401994,0.1136872925,0.34099192275,0.9995,5e-04,FALSE,0,1.00380217604493,3424.159834832,2444.6297645887
2,"currency_exchange_log","beta[2]",-0.0393491139142547,0.0195076606062527,-0.039533525,-0.07654100425,-0.000219033378999999,0.024,0.976,FALSE,0,1.00156844205073,4640.36965364171,2943.0812097376
2,"ndvi_value_cubic_intp","beta[3]",0.0166411629851789,0.0354039247825144,0.0168570925,-0.051318879,0.087193695825,0.684,0.316,TRUE,0,1.00025015957273,4393.22831296387,3082.35752480103
2,"food_inflation_cubic_intp","beta[4]",-0.0161496477835974,0.0475352416930662,-0.0164815625,-0.10972493375,0.078232169425,0.3635,0.6365,TRUE,0,1.00424996239946,4756.28576279415,2382.56088999756
2,"Waterways","beta[5]",-0.0674971072534704,0.0460972240336904,-0.066652186,-0.16036616375,0.024280059575,0.06525,0.93475,TRUE,0,1.00112416159434,3190.69577011977,2441.34550110464
3,"MPI_intensity","beta[1]",0.171703166054767,0.0690639476142166,0.17246254,0.030007148575,0.313780555,0.98975,0.01025,FALSE,0,1.00138020745911,3575.98102057184,2213.74441291862
3,"currency_exchange_log","beta[2]",-0.037420235899255,0.017836481765193,-0.037343946,-0.07238644355,-0.00354486995499999,0.014,0.986,FALSE,0,1.00297986688446,4546.90487922252,3109.04990896422
3,"ndvi_value_cubic_intp","beta[3]",-0.0327348618293625,0.0398446618715139,-0.03221893,-0.1110134865,0.046780180675,0.2025,0.7975,TRUE,0,1.00107783280787,4735.10377917857,3171.5663310055
3,"food_inflation_cubic_intp","beta[4]",-0.016190413705668,0.0468195502265629,-0.016572751,-0.105461199,0.0762562547,0.3625,0.6375,TRUE,0,1.00049441795057,4184.06500894744,2827.24306860879
3,"Waterways","beta[5]",-0.0409479310938969,0.0479116230165138,-0.0402766965,-0.13815219725,0.051420977875,0.18675,0.81325,TRUE,0,1.00013969937797,3772.87566885602,2153.99264544723
4,"MPI_intensity","beta[1]",0.22294161449225,0.0464091278384219,0.222791195,0.12835857825,0.318121028,1,0,FALSE,0,1.00087668669248,3268.78396603365,2327.77407200943
4,"currency_exchange_log","beta[2]",-0.035015709553037,0.0190625670881764,-0.034966446,-0.071810832475,0.0028138968625,0.035,0.965,TRUE,0,1.00102471800131,4475.55221193327,2930.25004198807
4,"ndvi_value_cubic_intp","beta[3]",-0.0573154333900269,0.033747523711715,-0.0579653345,-0.12232776925,0.010118831275,0.045,0.955,TRUE,0,1.00124464612317,3484.60340471993,2695.08193932826
4,"food_inflation_cubic_intp","beta[4]",-0.00904014030833224,0.0469797935366301,-0.0092739864,-0.1005922805,0.0837928309,0.42325,0.57675,TRUE,0,1.00266058342459,4271.81062696473,2587.55705189034
4,"Waterways","beta[5]",-0.0676737722433289,0.0382800511208084,-0.067893139,-0.1439883475,0.00853122169500001,0.04125,0.95875,TRUE,0,1.00179877258771,3309.91983955655,2602.75579872199
5,"MPI_intensity","beta[1]",0.211702138324,0.0559802756737956,0.210860515,0.1064258815,0.3266062715,1,0,FALSE,0,1.000502345407,3573.47464455351,2792.80805303466
5,"currency_exchange_log","beta[2]",-0.0368178696409987,0.0185488135641805,-0.036599901,-0.0734123416,-0.000228664702399986,0.0245,0.9755,FALSE,0,1.00056964057642,4541.92655448861,2830.71313945049
5,"ndvi_value_cubic_intp","beta[3]",-0.00579580660467068,0.0366244210293381,-0.0061207118,-0.078411759275,0.069133438,0.434,0.566,TRUE,0,1.00444126658752,4391.36245137897,2793.03800692169
5,"food_inflation_cubic_intp","beta[4]",-0.00864955668453701,0.0454714799490467,-0.00935463145,-0.0983362667,0.080865093625,0.424,0.576,TRUE,0,1.00272822283565,3826.83836912437,2570.02020364323
5,"Waterways","beta[5]",-0.0503953586428138,0.0483711632668897,-0.050058266,-0.14913666625,0.048043991725,0.1325,0.8675,TRUE,0,1.00155309426937,3420.63635299518,2416.70987470428
